id	@id	TMC:cid_58:tabcd_1:Class	TMC:cid_58:tabcd_1:LCLversion	TMC:cid_58:tabcd_1:LocationCode	access	addr:city	addr:postcode	addr:street	alt_name	archaeological_site	architect	area	barrier	bicycle	cemetery:historic	check_date	check_date:opening_hours	communication:amateur_radio:pota	contact:website	description	disused:landuse	dog	dsa:criteria	ele	fee	fixme	gnis:feature_id	heritage	heritage:operator	historic	image	landcover	landuse	layer	leaf_type	leisure	lit	loc_name	meadow	name	name:etymology	name:etymology:wikidata	name:etymology:wikipedia	name:ru	natural	network	noname	note	official_name	old_name	opening_hours	operator	operator:type	phone	ref	ref:dsa	source	start_date	surface	toilets:wheelchair	tourism	trees	type	url	website	wheelchair	wikidata	wikimedia_commons	wikipedia	@relations	winter_service	year_of_construction
way/34906894	way/34906894																																			park				Stadtpark Eimsbüttel																																
way/34954955	way/34954955																																			park				Lüttkampanger																																
way/38073606	way/38073606																																			park				Park an der russischen Kirche																																
way/38109120	way/38109120																																			park				Heine-Park																											Q1595968		de:Heine-Park			
way/38372527	way/38372527																																			park				Alsterufer - Warburgstraße																																
way/38563524	way/38563524																																			park				Katthorstpark																																
way/42132110	way/42132110																																			park				Beselerplatz																																
way/45028004	way/45028004																																			park				Venusberg																																
way/45846839	way/45846839																																			park				Sola-Bona-Park																																
way/47269968	way/47269968																																			park				Ohl-Dörp-Ring																																
way/47272609	way/47272609																																			park				Ohl-Dörp-Ring																																
way/51268741	way/51268741																																			park				Kirchpark																																
way/52664032	way/52664032																																			park				Wilhelm-Bürsing-Park																																
way/52664035	way/52664035																																			park				Ohl-Dörp-Ring																																
way/52679501	way/52679501																																			park				Düp-Ring																																
way/52685262	way/52685262																																			park				Ohl-Dörp-Ring																																
way/52685265	way/52685265																																			park				Düp-Ring																																
way/52826471	way/52826471																																			park				Zeppelin-Park																																
way/54638322	way/54638322																			"Benannt nach dem ehemaligen Vorsitzenden des Bürgervereins Oldenfelde e.V., Hansjürgen Schult, genannt ""Hanni"". Senatsbeschluss 2024/2"																park				Hanni-Schult-Park																	https://www.bv-oldenfelde.de/b%C3%BCrgerverein-oldenfelde-e-v/ursprung-und-historie-des-b%C3%BCrgervereins-oldenfelde-e-v/															
way/55466791	way/55466791																																			park				Meerweinpark																																
way/59169189	way/59169189																																			park				Pehmöllers Garten																									https://www.hamburg.de/hamburg-nord/stadtgruen/14926948/pehmoellers-garten/							
way/59195642	way/59195642																																			park				Grünanlage Warnckesweg																									https://lebendigesgrossborstel.de/p_gruenanlage-warnckesweg/							
way/61449947	way/61449947																																			park				Bewegungsräume Lenzsiedlung																			grass							yes						
way/62232035	way/62232035																																			park				St. Georg Zentral-Park																																
way/62354554	way/62354554																																			park				Herrengarten																																
way/67808696	way/67808696																																			park				Grünzug Borgfelder Straße																										yes						
way/71855551	way/71855551																																			park				Grünanlage Grelckstraße																										yes						
way/74873638	way/74873638																																			park				Park am Berliner Tor																																
way/77042474	way/77042474																																grass			park				Stoltenpark																																
way/77042510	way/77042510																																			park				Stoltenpark																			grass													
way/78144828	way/78144828																																			park				Park Bei der Apostelkirche																																
way/80938764	way/80938764																																			park				Grünzug Lokstedt																																
way/81057684	way/81057684																																			park				Ostsee-Quarree																																
way/81832396	way/81832396																																			park				Carl-Stamm-Park																																
way/83509183	way/83509183																																			park				Herbstscher Park																																
way/86007550	way/86007550																																			park				Jungmanninsel					wood																											
way/88700037	way/88700037																																			park				Am Husarendenkmal																																
way/93395908	way/93395908																																			park				Grünzug Hammer Landstraße																																
way/99408893	way/99408893																																			park				Grünanlage Försterweg																																
way/108944293	way/108944293																																		broadleaved	park				Hohe Landwehr					wood																											
way/108944298	way/108944298																																			park				Hohe Landwehr																																
way/119080968	way/119080968								Grünanlage und Spielplatz Ifflandstraße																											park				Grüne Mitte Hohenfelde																								https://www.hamburg.de/hamburg-nord/stadtgruen/7722424/gruenanlage-und-spielplatz-ifflandstrasse/	https://www.hamburg.de/hamburg-nord/projekte-im-bau/4611910/gruenemittehohenfelde/							
way/119225218	way/119225218																																			park				Max-Schmeling-Park																																
way/127004384	way/127004384								Stadtpark Eimsbüttel																											park				Park am Wasserturm																																
way/134099475	way/134099475																																			park				Wolfgang-Borchert-Park										Rosengarten																						
way/136130804	way/136130804																																			park				Alsterpark Klein Borstel																																
way/136926129	way/136926129														yes						cemetery	no														park				Wohlers Park										Friedhof Norderreihe																	Q1457375		de:Friedhof Norderreihe			
way/137291412	way/137291412																																			park				Walter-Möller-Park																																
way/137386114	way/137386114																																			park				Kapitän-Schröder-Park																																
way/137433766	way/137433766																																			park				Lindenpark																																
way/137473090	way/137473090																																			park				Lindenpark																																
way/139265108	way/139265108																																forest			park				Willinks Park																	http://hamburg.nabu.de/themen/baumschutz/14748.html												de:Hamburg-Lokstedt#Parks			
way/142692923	way/142692923																																			park				Alsterpark Außenalster																																
way/144017527	way/144017527																											"4"	dsa							park				Lohbekpark																"45140"		"1965"														
way/145693881	way/145693881																																			park				Unna-Park																											Q2496611		de:Unnapark			
way/148318483	way/148318483																																			park				Sanitaspark																										yes	Q62269147					
way/148941338	way/148941338																																			park				Voßbarg																																
way/164623824	way/164623824																																			park				Bondenwald																				yes						yes						
way/192234718	way/192234718																																			park				Puvogel-Garten																																
way/192653827	way/192653827														yes																		cemetery			park				Alter Lohbrügger Friedhof																	Bing							http://grabsteine.genealogy.net/namelist.php?cem=2009								
way/207357713	way/207357713																																			park				Gebrüder-Cohen-Park																											Q124466993		de:Gebrüder-Cohen-Park			
way/228874341	way/228874341																																			park				Bei der Friedenseiche																	for name: survey															
way/258260214	way/258260214				yes																															park				Spielplatz „Rollerbahn“																																
way/287645794	way/287645794																																			park				Grünzug Eilbek																																
way/287645795	way/287645795																																			park				Grünzug Eilbek																																
way/287645796	way/287645796																																			park				Grünzug Eilbek																																
way/287645797	way/287645797																																			park				Grünzug Eilbek																																
way/290059799	way/290059799																																			park				Harburger Brücken Grünzug Nord																																
way/294928790	way/294928790																																			park				Wiese Mitte Altona																											Q120616308					
way/294968719	way/294968719																																			park				Kaskadenpark																																
way/294968736	way/294968736																																			park				Sternenpark																																
way/304341739	way/304341739																																			park				Phylogenetische Uhr								Das neue System im Botanischen Garten ist als Phylogenetische Uhr konzipiert. Die Anordnung der Pflanzenordnungen innerhalb der Sektoren orientiert sich an den aktuellsten molekularsystematischen Ergebnissen der so genannten Angiosperm Phylogeny Group.									"Botanischer Garten, Hamburg"								https://www.bghamburg.de/freigelaende/pflanzensystem							
way/304342691	way/304342691																																			park				Bauerngarten																																
way/304342694	way/304342694																																			park				Apothekergarten																																
way/307471680	way/307471680															2024-03-11																				park				Hindenburgpark																											Q1619297		de:Hindenburgpark (Hamburg)			
way/311645293	way/311645293												fence							Park ist nicht öffentlich Zugänglich - Führungen über den Kulturverein Jenfeld möglich.																park				Tansania-Park																											Q1236450		de:Tansania-Park			
way/327799804	way/327799804																																			park				Lohmühlenpark																																
way/336098091	way/336098091								Schönklinik-Park																											park				Elfriede-Lohse-Wächtler-Rosengarten																																
way/339711752	way/339711752																																			park				Grünzug Dulsberg																																
way/341857355	way/341857355																																			park				Am Botanischen Garten																																
way/374846514	way/374846514																																			park				Pyrenäen																																
way/374846515	way/374846515																																			park				Kameliental																																
way/450125147	way/450125147				yes				Vogelkamp Quartiersplatz Ost																											park				Johannisplatz																																
way/469928529	way/469928529																							"146"			"2488885"									park				Kaercher Creek Park																																
way/478367208	way/478367208																										"1949907"									park				Hamburg City Park																																
way/479600277	way/479600277																																			park				Hamburg Community Park																																
way/481432897	way/481432897																																			park				Harburger Brücken Grünzug Süd																																
way/499937401	way/499937401																																			park				Bismarckstein Park																																
way/503119416	way/503119416																																			park				Schinkelplatz																																
way/513055912	way/513055912																					yes														park				Grüne Mitte Heimfeld												Bezirksamt Harburg																				
way/533055742	way/533055742																																			park				Deichpark Veddel																																
way/584284547	way/584284547																																			park				Hamburg Bicentennial Park																																
way/584670731	way/584670731																																			park				Ballin Park																																
way/618017916	way/618017916																																			park				Wilstorfer Park																																
way/626199687	way/626199687																																			park				Erwin-Seeler-Park																																
way/646069027	way/646069027																																			park				Stoltenpark																																
way/669400814	way/669400814																																			park				Grünzug Wilhelmsburger Dove-Elbe																																
way/669400817	way/669400817																																			park				Grünzug Wilhelmsburger Dove-Elbe																																
way/669409986	way/669409986																																			park				Grünzug Wilhelmsburger Dove-Elbe																																
way/685622548	way/685622548																																			park				Bei der Jugendmusikschule																																
way/696186373	way/696186373																																			park				Kinderspielplatz Kiefernberg											24/7	Stadt Hamburg																				
way/702520881	way/702520881																																			park				Stuhlmannplatz											24/7																					
way/718216346	way/718216346																			In den Hang eingelassene Betontreppen die als Sitzflächen dienen.																park				Sonnenstufen																																
way/732693510	way/732693510																																			park				Schlüter Park																																
way/779684871	way/779684871																																			park				Oxpark																																
way/791688932	way/791688932																																			park				Kemmscher Park																																
way/827451389	way/827451389																																			park				Jürgen-W.-Scheutzow-Park																												Category:Jürgen-W.-Scheutzow-Park				
way/839920712	way/839920712																																			park				Regenwald																																
way/839920714	way/839920714																																			park				Japanischer Garten																																
way/839920800	way/839920800																																			park				Alpen																																
way/852794327	way/852794327																							"277"			"1949906"									park				Rotary Park																																
way/917450162	way/917450162																																			park				Grüne Fuge																										yes						
way/921415871	way/921415871																																			park				Liegewiese																																
way/957110254	way/957110254				yes				Vogelkamp Quartiersplatz West																											park				Merlinplatz																																
way/957490816	way/957490816				yes				Vogelkamp Quartiersplatz Mitte																											park				Wachtelkönigplatz											24/7																					
way/965666416	way/965666416																																			park				Michelwiese																																
way/1036998945	way/1036998945																							"287"			"1949908"									park				Golden Acres Park																																
way/1057922415	way/1057922415																																			park				Hochwasserbassin																									https://www.hochwasserbassin.de							
way/1084007704	way/1084007704																																			park				Grünzug Bei der Apostelkirche																																
way/1149255049	way/1149255049																																			park				Pocket-Park Paciusweg																																
way/1162797316	way/1162797316																																			park				Innenhof																																
way/1184228129	way/1184228129					Hamburg	"20251"	Geschwister-Scholl-Straße																												park				Literarischer Garten												Geschichtswerkstatt Eppendorf																				
way/1229506013	way/1229506013																																			park				Hawks Park																																
way/1284832180	way/1284832180																									correct location										park				Park Strandhöft																																
way/1287581546	way/1287581546																																			park				Rübenkamp																																
way/1287600144	way/1287600144																																			park				Otto von Bahren Park																									https://de.m.wikipedia.org/wiki/Otto_von_Bahrenpark	yes						
way/1288948151	way/1288948151																																			park				Horneckswisch																																
